,date,time,open,high,low,close
8911,21-12-02,18:54:35,113.136,113.136,113.132,113.132
8912,21-12-02,18:54:40,113.132,113.132,113.13,113.13
8913,21-12-02,18:54:45,113.13,113.132,113.13,113.132
8914,21-12-02,18:54:50,113.132,113.132,113.13,113.13
8915,21-12-02,18:54:55,113.13,113.131,113.13,113.13
8916,21-12-02,18:55:00,113.13,113.13,113.124,113.125
8917,21-12-02,18:55:05,113.125,113.125,113.124,113.124
8918,21-12-02,18:55:10,113.124,113.128,113.124,113.128
8919,21-12-02,18:55:15,113.128,113.128,113.123,113.124
8920,21-12-02,18:55:20,113.124,113.125,113.124,113.124
8921,21-12-02,18:55:25,113.124,113.139,113.124,113.138
8922,21-12-02,18:55:30,113.138,113.138,113.136,113.136
8923,21-12-02,18:55:35,113.136,113.136,113.13,113.13
8924,21-12-02,18:55:40,113.13,113.13,113.124,113.124
8925,21-12-02,18:55:45,113.124,113.125,113.119,113.125
8926,21-12-02,18:55:50,113.125,113.125,113.123,113.123
8927,21-12-02,18:55:55,113.123,113.123,113.118,113.12
8928,21-12-02,18:56:00,113.12,113.121,113.118,113.121
8929,21-12-02,18:56:05,113.121,113.121,113.113,113.113
8930,21-12-02,18:56:10,113.113,113.116,113.113,113.116
8931,21-12-02,18:56:15,113.116,113.12,113.116,113.118
8932,21-12-02,18:56:20,113.118,113.122,113.118,113.118
8933,21-12-02,18:56:25,113.118,113.12,113.115,113.116
8934,21-12-02,18:56:30,113.116,113.134,113.116,113.132
8935,21-12-02,18:56:35,113.132,113.135,113.126,113.128
8936,21-12-02,18:56:40,113.128,113.128,113.126,113.126
8937,21-12-02,18:56:45,113.126,113.128,113.126,113.126
8938,21-12-02,18:56:50,113.126,113.128,113.126,113.126
8939,21-12-02,18:56:55,113.126,113.126,113.123,113.124
8940,21-12-02,18:57:00,113.124,113.124,113.118,113.119
8941,21-12-02,18:57:05,113.119,113.12,113.118,113.12
8942,21-12-02,18:57:10,113.12,113.12,113.118,113.12
8943,21-12-02,18:57:15,113.12,113.12,113.114,113.114
8944,21-12-02,18:57:20,113.114,113.117,113.114,113.117
8945,21-12-02,18:57:25,113.117,113.118,113.117,113.117
8946,21-12-02,18:57:30,113.117,113.12,113.117,113.119
8947,21-12-02,18:57:35,113.119,113.119,113.118,113.118
8948,21-12-02,18:57:40,113.118,113.118,113.112,113.112
8949,21-12-02,18:57:45,113.112,113.114,113.111,113.112
8950,21-12-02,18:57:50,113.112,113.112,113.109,113.109
8951,21-12-02,18:57:55,113.109,113.11,113.109,113.11
8952,21-12-02,18:58:00,113.11,113.116,113.11,113.116
8953,21-12-02,18:58:05,113.116,113.116,113.114,113.114
8954,21-12-02,18:58:10,113.114,113.114,113.11,113.11
8955,21-12-02,18:58:15,113.11,113.112,113.109,113.109
8956,21-12-02,18:58:20,113.109,113.112,113.109,113.11
8957,21-12-02,18:58:25,113.11,113.12,113.11,113.118
8958,21-12-02,18:58:30,113.118,113.118,113.116,113.116
8959,21-12-02,18:58:35,113.116,113.119,113.116,113.119
